Epoch 1700: Test Loss 1.0671, Test Accuracy 0.6670
Epoch 1800: Test Loss 1.0632, Test Accuracy 0.6720
Epoch 1900: Test Loss 1.0334, Test Accuracy 0.6760
Epoch 2000: Test Loss 1.0418, Test Accuracy 0.6720
*******************************
Trial 04: test accuracy 0.6810
*******************************
[0.6820000410079956, 0.6850000619888306, 0.6830000281333923, 0.6820000410079956, 0.6810000538825989]
std of test accuracy 0.13564696244500568
average of test accuracy 68.26000452041626
Namespace(alpha=100, dataset='pubmed', dropout2=0.5, dropout_adj2=0.0, epochs=2000, half_train=0, half_val_as_train=0, hidden=32, k=15, klabel=30, knn_metric='cosine', lr=0.01, method='GCN_KNN', nlayers=2, normalization='sym', ntrials=5, patience=3000, sparse=0, w_decay=0.0005)
